code,tickers,name,industry
0458,0458.HK,TRISTATE HLDGS,Consumer Non-Durables
0687,0687.HK,TYSAN HOLDING LTD,Industrial Services
0156,0156.HK,LIPPO CHINA RESOURCES,Finance
3688,3688.HK,TOP SPRING INTL HLDGS LTD,Finance
1645,1645.HK,HAINA INTELLIGENT EQUIPMENT INTL HL,Producer Manufacturing
1075,1075.HK,CAPINFO CO LTD-H,Technology Services
8349,8349.HK,YUNHONG GUIXIN GROUP HOLDINGS LTD,Consumer Durables
2237,2237.HK,CHINA GRAPHITE GROUP LTD,Finance
2772,2772.HK,ZHONGLIANG HOLDINGS GROUP CO LTD,Finance
3768,3768.HK,KUNMING DIANCHI WATER TREAT CO LTD,Utilities
0277,0277.HK,TERN PROPERTIES,Finance
6919,6919.HK,RENRUI HUMAN RES TECH HLDS LTD,Technology Services
6811,6811.HK,TAI HING GROUP HOLDINGS LTD,Consumer Services
1853,1853.HK,JILIN PROVINCE CHUNCHENG HEATING CO,Utilities
2271,2271.HK,ZHONG AN INTELLIGENT LIVING SERVICE,Finance
1543,1543.HK,GUANGDONG JOIN-SHARE FIN GT INV CO,Finance
1980,1980.HK,TIAN GE INTERACTIVE HOLDINGS LTD,Technology Services
3332,3332.HK,NANJING SINOLIFE UNITED COMPANY LTD,Health Technology
8246,8246.HK,ZHONGHUA GAS HLDGS LTD,Industrial Services
0132,0132.HK,HING YIP HOLDINGS LTD,Finance
1725,1725.HK,USPACE TECHNOLOGY GROUP LTD,Producer Manufacturing
9608,9608.HK,SUNDY SERVICE GROUP CO LTD,Finance
1028,1028.HK,C.BANNER INTERNATIONAL HOLDINGS LTD,Consumer Non-Durables
1553,1553.HK,MAIKE TUBE INDUSTRY HOLDINGS LTD,Non-Energy Minerals
1461,1461.HK,ZHONGTAI FUTURES COMPANY LTD,Finance
8476,8476.HK,OCEAN ONE HLDG LTD,Distribution Services
6908,6908.HK,HG SEMICONDUCTOR LTD,Electronic Technology
2511,2511.HK,HIGHTIDE THERAPEUTICS INC.,Health Technology
0391,0391.HK,MEI AH ENTERTAINMENT GROUP,Consumer Services
0235,0235.HK,CSC HLDGS LTD,Distribution Services
0438,0438.HK,IRICO GROUP NEW ENERGY COMPANY LTD,Electronic Technology
1200,1200.HK,MIDLAND HOLDINGS LIMITED,Finance
1856,1856.HK,ERNEST BOREL HOLDINGS LIMITED,Consumer Durables
3999,3999.HK,DACHAN FOOD(ASIA)LTD,Consumer Non-Durables
1795,1795.HK,YADONG GROUP HLDGS LTD,Process Industries
1084,1084.HK,GREEN FUTURE FOOD HYDROCOLLOID MARI,Consumer Non-Durables
0206,0206.HK,CM ENERGY TECH CO LTD,Industrial Services
3680,3680.HK,RUIHE DATA TECHNOLOGY HOLDINGS LTD,Technology Services
0201,0201.HK,MAGNIFICENT HOTEL INVESTMENTS LTD,Consumer Services
2298,2298.HK,COSMO LADY CHINA HLDGS CO LTD,Consumer Non-Durables
1940,1940.HK,CHINA GAS INDUSTRY INV HLDGS CO LTD,Utilities
6898,6898.HK,CHINA ALUMINUM CANS HLDGS LTD,Process Industries
0367,0367.HK,CHUANGS CONSORTIUM INTERNATIONAL,Finance
8540,8540.HK,VICTORY SECURITIES HOLDINGS CO LTD,Finance
0099,0099.HK,WONG'S INTERNATIONAL HOLDINGS LTD,Electronic Technology
0451,0451.HK,GCL NEW ENERGY HOLDINGS LIMITED,Utilities
1023,1023.HK,SITOY GROUP HLDGS LTD,Consumer Non-Durables
2176,2176.HK,CCID CONSULTING COMPANY LIMITED,Commercial Services
0815,0815.HK,CHINA SILVER GROUP LIMITED,Producer Manufacturing
0355,0355.HK,CENTURY CITY INTERNATIONAL HLDGS,Finance
1412,1412.HK,Q P GROUP HLDGS LTD,Process Industries
