code,tickers,name
1622,1622.T,NEXT FUNDS TOPIX-17 Auto & Transp Equip
2837,2837.T,Global X Japan Mid & Small Cap Leaders ESG
328A,328A.T,Global X Japan Pricing Power Leaders
2518,2518.T,NEXT FUNDS MSCI Japan Empowering Women Select
2554,2554.T,NEXT FUNDS Bloomberg Barclays US Intermediate Corp
2081,2081.T,Strategic Shareholding Disposal Promotion
2530,2530.T,MUKAM MAXIS HuaAn China Equity SSE 180
1559,1559.T,NEXT FUNDS Thai Stock SET50
1495,1495.T,Listed Index Fund Asian REIT
2645,2645.T,Global X Japan Leisure & Entertainment
1687,1687.T,WisdomTree Agriculture
1633,1633.T,NEXT FUNDS TOPIX-17 Real Estate
1566,1566.T,Listed Index Fund Emerging Bond (Barclays Local EM
1697,1697.T,WisdomTree Soybeans
1624,1624.T,NEXT FUNDS TOPIX-17 Machinery
2093,2093.T,Listed Tracers US Government Bond 0-2years Ladder
2646,2646.T,Global X Japan Metal Business
2847,2847.T,Global X Japan New Growth Infrastructure
2627,2627.T,Global X E-Commerce Japan
1623,1623.T,NEXT FUNDS TOPIX-17 Steel and Nonferrous
1628,1628.T,NEXT FUNDS TOPIX-17 Tranport & Logistics
295A,295A.T,One FTSE Saudi Arabia Index
1618,1618.T,NEXT FUNDS TOPIX-17 Energy Resources
1691,1691.T,WisdomTree Gasoline
1621,1621.T,NEXT FUNDS TOPIX-17 Pharmaceutical
2033,2033.T,NEXT NOTES KOSPI 200 Leverage
2250,2250.T,iShares MSCI Japan Climate Action
1620,1620.T,NEXT FUNDS TOPIX-17 Raw Mat & Chemicals
1694,1694.T,WisdomTree Nickel
273A,273A.T,SBI Saudi Arabia Equity Exchange Traded Fund
1309,1309.T,Nomura SSE50
2637,2637.T,Global X CleanTech ESG Japan
2082,2082.T,Investor-Management Unite as One
2635,2635.T,NEXT FUNDS S&P 500 ESG Index Exchange Traded Fund
1551,1551.T,JASDAQ-Top20
1486,1486.T,Listed Index Fund US Bond (No Currency Hedge)
2095,2095.T,Global X S&P 500 Dividend Aristocrats (JPY Hedged)
2857,2857.T,iShares Germany Government Bond JPY Hedged
